Osake;Hinta;Muutos;Osto;Myynti;Vaihto;Ylin;Alin;Päivitetty
Afarak Group;0,437;-0,11428571428571438;0,436;0,4375;12086,367;0,4395;0,434;10.11.2023
Aktia Pankki A;9,18;0,9900990099009885;9,18;9,2;516507,42;9,34;9,09;10.11.2023
Alisa Pankki;0,188;-1,467505241090145;0,1882;0,1946;17382,0346;0,193;0,186;10.11.2023
Alma Media;8,52;-0,6993006993007052;8,52;8,58;46415,08;8,66;8,5;10.11.2023
Anora Group;4,175;-5,86245772266065;4,185;4,195;561008,81;4,435;4,155;10.11.2023
Apetit;12,55;-0,7905138339920921;12,5;12,6;9902,2;12,65;12,5;10.11.2023
Aspo;6;-1,6393442622950762;6,01;6,04;40801,57;6,1;6;10.11.2023
Aspocomp Group;3,6;-0,27700831024930156;3,61;3,65;5355,37;3,7;3,6;10.11.2023
Atria A;10,5;0;10,44;10,5;22654,8;10,7;10,44;10.11.2023
Biohit B;1,935;-0,25773195876288113;1,92;1,935;3078,38;1,94;1,92;10.11.2023
Bittium;3,9;-2,3779724655819825;3,9;3,925;30411,525;3,95;3,9;10.11.2023
Boreo;26,4;-1,858736059479554;26,2;26,3;26189,3;26,4;25,4;10.11.2023
CapMan;2,075;-2,35294117647058;2,085;2,095;101586,725;2,13;2,075;10.11.2023
Cargotec;40,56;-3,1980906921240964;40,6;40,64;2811396,38;41,64;40,44;10.11.2023
Citycon;5,15;-1,811248808388937;5,165;5,175;1210137,475;5,26;5,14;10.11.2023
Componenta;2,36;0;2,33;2,36;7497,63;2,41;2,3;10.11.2023
Consti;9,98;0,20080321285140132;9,9;9,98;3411,8;9,98;9,84;10.11.2023
Digia;5,32;3,1007751937984525;5,22;5,32;36590,6;5,38;5,16;10.11.2023
Digitalist Group;0,0176;0;0,0172;0,0174;766,4556;0,0176;0,0172;10.11.2023
Dovre Group;0,388;-2,5125628140703538;0,388;0,389;64429,204;0,401;0,388;10.11.2023
Eezy;1,785;-1,381215469613267;1,75;1,785;20559,8;1,815;1,73;10.11.2023
Elecster A;4,7;4,444444444444448;4,7;4,76;2915,08;4,76;4,7;10.11.2023
Elisa;42,24;-1,3084112149532598;42,15;42,17;9137953,275;42,71;42,03;10.11.2023
Endomines Finland;3,56;5,3254437869822535;3,4;3,54;23691,18;3,6;3,32;10.11.2023
Enento Group;17,56;-2,5527192008879074;17,5;17,6;522709,9;18,22;17,46;10.11.2023
Enersense;4,34;-1,3636363636363749;4,25;4,34;26407,33;4,41;4,26;10.11.2023
eQ;15,5;-1,6497461928933996;15,5;15,6;17967,58;15,58;15,4;10.11.2023
Etteplan;13,15;1,5444015444015529;13;13,15;4886,55;13,15;12,95;10.11.2023
Evli;18,3;-2,6595744680851063;18,3;18,55;37161,95;18,8;18,3;10.11.2023
Exel Composites;2,66;0;2,63;2,66;55768,27;2,7;2,62;10.11.2023
F-Secure;1,848;-1,8065887353878751;1,852;1,862;84197,883;1,878;1,832;10.11.2023
Finnair;0,045;-6,054279749478079;0,045;0,0452;661144,0338;0,0484;0,045;10.11.2023
Fiskars A;15,86;-0,9987515605493142;15,9;15,96;232002,34;16,08;15,72;10.11.2023
Fortum;12,185;-0,3679476696647582;12,14;12,155;14789093,87;12,185;11,985;10.11.2023
Glaston;0,75;0;0,744;0,756;5548,236;0,756;0,742;10.11.2023
Gofore;22,7;-3,404255319148939;22,7;23,3;203940,1;23,5;22,7;10.11.2023
Harvia;23,44;-2,3333333333333277;23,26;23,46;288008,24;23,86;23,16;10.11.2023
HKScan A;0,759;-1,043024771838332;0,75;0,759;31021,5;0,769;0,75;10.11.2023
Honkarakenne B;2,9;0;2,9;2,94;32625,1;2,95;2,85;10.11.2023
Huhtamäki;32,77;-1,1463046757164268;32,73;32,78;2701614,585;33,08;32,52;10.11.2023
Ilkka2;3,1;0,6493506493506499;3,01;3,09;1107,69;3,12;2,97;10.11.2023
Incap;6,97;-1,274787535410763;6,95;6,99;166280,71;7,05;6,87;10.11.2023
Innofactor;1,1;0,9174311926605512;1,085;1,1;12726,23;1,1;1,08;10.11.2023
Investors House;4,71;3,0634573304157477;4,57;4,71;169,56;4,71;4,71;10.11.2023
Kamux;5,565;-5,517826825127322;5,58;5,62;1187153,985;6,16;5,56;10.11.2023
Kemira;14,98;-1,447368421052624;14,98;15;1262285,155;15,28;14,95;10.11.2023
Keskisuomalainen A;8,36;-0,7125890736342102;8,3;8,36;12007,22;8,6;8,3;10.11.2023
Kesko A;16,62;-1,4234875444839765;16,62;16,66;395459,44;16,88;16,5;10.11.2023
Kesko B;16,42;-0,9650180940892437;16,43;16,44;6402291,135;16,555;16,34;10.11.2023
Kesla A;4,09;1,9950124688279323;4;4,09;9679,97;4,09;4,01;10.11.2023
KH Group;0,768;-0,9032258064516137;0,76;0,769;27324,278;0,774;0,756;10.11.2023
Kojamo;9,4;-1,981230448383728;9,39;9,4;4414591,175;9,51;9,285;10.11.2023
Kone;41,84;-2,1515434985968067;41,86;41,88;19374166,11;42,5;41,7;10.11.2023
Konecranes;32,65;-1,3595166163142078;32,77;32,82;3603751,325;32,94;32,29;10.11.2023
Koskisen;6,06;0,1652892561983436;6,06;6,12;5237,24;6,13;6,02;10.11.2023
Kreate Group;6,44;0,6250000000000006;6,4;6,44;5918;6,44;6,4;10.11.2023
Lassila & Tikanoja;9,4;-0,5291005291005179;9,42;9,45;136635,81;9,47;9,39;10.11.2023
Lehto Group;0,015;-11,764705882352951;0,015;0,0162;9093,6615;0,0183;0,0132;10.11.2023
Mandatum;3,633;-0,7377049180327906;3,638;3,639;7292865,9705;3,678;3,626;10.11.2023
Marimekko;11,18;-1,757469244288234;11,19;11,24;274688,345;11,4;11,08;10.11.2023
Martela A;1,365;10,526315789473676;1,365;1,385;13345,055;1,6;1,32;10.11.2023
Metso;8,662;-1,6352486940722049;8,644;8,65;9407236,8254;8,728;8,552;10.11.2023
Metsä Board A;8,1;-1,219512195121947;8,1;8,2;8257,9;8,2;8,06;10.11.2023
Metsä Board B;7,085;-2,4104683195592265;7,1;7,11;2744287,1525;7,195;6,98;10.11.2023
Musti Group;18,39;3,1986531986532;18,34;18,38;1553930,33;18,39;17,8;10.11.2023
Neste;32,88;0,5197187404463519;32,88;32,91;15965995,24;33;32,46;10.11.2023
NoHo Partners;7,7;1,5831134564643814;7,58;7,66;39742,38;7,7;7,56;10.11.2023
Nokia;3,241;-0,6742261722341342;3,2505;3,2525;38962998,3225;3,2665;3,228;10.11.2023
Nokian Renkaat;8,006;-0,8667657256067395;8,008;8,016;3808253,622;8,132;7,95;10.11.2023
Nordea Bank;10,066;-0,827586206896548;10,076;10,08;28174590,87;10,154;10,022;10.11.2023
Nurminen Logistics;0,88;-1,7857142857142874;0,882;0,898;13567,302;0,9;0,878;10.11.2023
Olvi A;28,8;-0,17331022530329535;28,75;29,05;90861,7;29,1;28,6;10.11.2023
Oma Säästöpankki;19,9;-0,5000000000000071;19,9;19,94;150533,48;20,05;19,86;10.11.2023
Optomed;2,725;0,5535055350553552;2,695;2,72;39507,93;2,75;2,69;10.11.2023
Oriola A;1,05;-3,2258064516128964;1,055;1,06;7125,71;1,08;1,05;10.11.2023
Oriola B;0,953;-1,5495867768595055;0,951;0,953;364134,277;0,971;0,946;10.11.2023
