Osake;Hinta;Muutos;Osto;Myynti;Vaihto;Ylin;Alin;Markkina-arvo;Päivitetty
Aallon Group;9,82;0,20408163265305687;9,8;9,94;9972,92;9,82;9,8;38452753,38;13.11.2023
Admicom;39,55;-4,813477737665464;39,55;39,8;228594,6;41,55;39;197314356,75;13.11.2023
Administer;2,73;0;2,74;2,8;4529,07;2,73;2,73;39119300,22;13.11.2023
Aiforia Technologies;3,44;1,4749262536873105;3,39;3,44;3670,76;3,46;3,44;89252919,03999999;13.11.2023
Alexandria Group Oyj;6;2,3890784982935096;5,88;6,02;18234;6;5,88;62522220;13.11.2023
Asuntosalkku;;;75;76;;;;74980992;13.11.2023
BBS-Bioactive Bone Substitutes;0,57;-2,061855670103095;0,56;0,57;9211,542;0,598;0,56;8332742,789999999;13.11.2023
Betolar;1,005;-2,898550724637684;0,978;1;6467,394;1,05;0,978;19704916,409999996;13.11.2023
Bioretec;2,34;0,8620689655172422;2,3;2,34;5163,45;2,36;2,3;45716247,72;13.11.2023
Detection Technology;14;4,477611940298504;14;14,1;116968,35;14,25;13,6;205183020;13.11.2023
Digital Workforce;3,38;4,968944099378873;3,31;3,37;15328,58;3,4;3,26;37967871,24;13.11.2023
Duell;0,345;2,9850746268656576;0,339;0,345;16206,818;0,347;0,333;10538188,53;13.11.2023
Eagle Filters Group;0,0754;-4,556962025316463;0,0758;0,076;3293,7378;0,076;0,0722;11806401,178;13.11.2023
EcoUp;1,75;-3,314917127071826;1,68;1,75;1463,27;1,82;1,685;15519367,5;13.11.2023
Efecte;7,56;0,7999999999999948;7,58;7,7;40063,92;7,7;7,56;48425761,44;13.11.2023
Faron Pharmaceuticals;3,105;0,16129032258064172;3,06;3,095;24951,64;3,14;3,025;213582700,395;13.11.2023
Fifax;0,214;13,82978723404255;0,1905;0,219;1690,1405;0,239;0,1885;11641382,576;13.11.2023
Fodelia;4,27;0;4,22;4,26;14191,26;4,27;4,25;34563984,699999996;13.11.2023
Fondia;6,02;0;6,02;6,32;602;6,02;6,02;23797866,68;13.11.2023
Heeros;3,64;1,6759776536312863;2,91;3,59;225,56;3,64;3,58;19322929,080000002;13.11.2023
Herantis Pharma;1,7;6,249999999999992;1,685;1,7;6665,26;1,7;1,55;28800709,8;13.11.2023
Inderes;18,5;2,7777777777777777;18,05;18,55;20403,75;18,55;18;31486056,5;13.11.2023
Kempower;29,18;-0,06849315068493005;29,1;29,18;8516147,19;30,26;29;1620742405,6;13.11.2023
Lamor;2,6;-3,703703703703707;2,6;2,69;6092,38;2,75;2,6;71506302,4;13.11.2023
LapWall;2,98;6,428571428571435;2,88;2,93;23706,54;2,98;2,81;43286043,64;13.11.2023
LeadDesk;5,88;-0,6756756756756763;5,7;5,88;12928,24;5,9;5,66;32216808,12;13.11.2023
Lemonsoft;5;-2,343750000000002;4,89;5;19647,59;5,16;4,92;92810025;13.11.2023
Loihde;11,9;2,5862068965517304;11,9;12,5;22168,65;12,65;11,1;68450156,60000001;13.11.2023
Meriaura Group;0,0453;1,3422818791946383;0,044;0,0453;11502,2402;0,0453;0,0432;36244626,9873;13.11.2023
Merus Power;4,24;-4,719101123595505;4,24;4,33;11112,68;4,45;4,2;32414655,84;13.11.2023
Modulight;1,2;-4,610492845786967;1,2;1,22;34517,022;1,296;1,2;51140323,199999996;13.11.2023
Nanoform Finland;1,675;0;1,61;1,675;19903,99;1,7;1,59;131370189,7;13.11.2023
Netum;2,65;0,3787878787878707;2,65;2,8;13990,47;2,8;2,6;33883830,15;13.11.2023
Nexstim;2,33;-5,2845528455284505;2,33;2,38;13040,38;2,46;2,31;15763759,46;13.11.2023
Nightingale Health;1,012;0,1980198019801982;1,012;1,032;18917,982;1,03;1;61649480,508;13.11.2023
Norrhydro Group;2,1;5,000000000000004;2;2,18;23414,79;2,18;1,98;22893439,8;13.11.2023
NYAB;0,48;-2,24032586558045;0,465;0,489;94218,777;0,49;0,449;339195954,24;13.11.2023
Pallas Air;0,342;1,1834319526627228;0,34;0,35;2865,7;0,342;0,338;6338414,250000001;13.11.2023
Partnera;0,698;4,1791044776119275;0,664;0,698;3767,7;0,728;0,678;26106572,268;13.11.2023
Piippo;;;2,56;2,62;;;;3309432,3200000003;13.11.2023
Pohjanmaan Arvo Sijoitusosuuskunta;55;0,5484460694698302;54,67;55,91;10525,34;55,5;54,7;44826100;13.11.2023
Rush Factory;0,396;-1,0000000000000009;0,396;0,397;2122,6;0,397;0,396;934876,008;13.11.2023
Solwers;3,32;0,6060606060606066;3,2;3,32;3502,6;3,32;3,32;32918022,439999998;13.11.2023
Spinnova;1,9;-2,763561924257935;1,9;1,916;118896,38;1,98;1,9;99234501,5;13.11.2023
Springvest;4,27;3,140096618357486;4;4,28;4522,19;4,29;4,2;23789404,029999997;13.11.2023
Tamtron Group;4,6;-2,3354564755838707;4,63;4,71;5437,64;4,74;4,6;33549529,599999998;13.11.2023
Titanium;16,8;2,752293577981647;16,4;16,8;23885,3;16,8;16,2;174233270,4;13.11.2023
Toivo Group;0,926;-0,43010752688172077;0,914;0,926;8931,392;0,94;0,908;50917245,276;13.11.2023
Viafin Service;11,8;-2,0746887966804977;11,75;11,9;6627,6;12,15;11,8;42819781;13.11.2023
Vincit;3,2;0,6289308176100634;3,17;3,2;15054,65;3,22;3,15;54103619,2;13.11.2023
Witted Megacorp;1,97;0;1,94;1,97;9077,545;1,97;1,855;30468841,49;13.11.2023
