Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-11 00:00:00+03:00,8.753381357163017,9.00833436959947,8.498428344726562,8.498428344726562,86318929,0.0,0.0
2017-10-12 00:00:00+03:00,8.540917976956381,8.8383623896976,8.540917976956381,8.634400367736816,392152,0.0,0.0
2017-10-13 00:00:00+03:00,8.685391251677872,8.880854652835891,8.651397581455912,8.863858222961426,700051,0.0,0.0
2017-10-16 00:00:00+03:00,8.880856425978658,8.880856425978658,8.71938666280371,8.81286907196045,208808,0.0,0.0
2017-10-17 00:00:00+03:00,8.838363557395256,8.838363557395256,8.702388858123504,8.719386100769043,169100,0.0,0.0
2017-10-18 00:00:00+03:00,8.74488024766133,8.86385850242592,8.719385196809295,8.753378868103027,112005,0.0,0.0
2017-10-19 00:00:00+03:00,8.753379344843125,8.846861743374008,8.668394756743707,8.727884292602539,100222,0.0,0.0
2017-10-20 00:00:00+03:00,8.82986343812392,8.82986343812392,8.736380248959371,8.761876106262207,387616,0.0,0.0
2017-10-23 00:00:00+03:00,8.829864450774235,8.829864450774235,8.795870780944824,8.795870780944824,109045,0.0,0.0
2017-10-24 00:00:00+03:00,8.829866315701596,8.829866315701596,8.795872638692492,8.81286907196045,221454,0.0,0.0
2017-10-25 00:00:00+03:00,8.838363696233335,8.838363696233335,8.787373588442014,8.821367263793945,152009,0.0,0.0
2017-10-26 00:00:00+03:00,8.821365830698626,8.838362260376822,8.795870780944824,8.795870780944824,194679,0.0,0.0
2017-10-27 00:00:00+03:00,8.821364819022975,8.82986343812392,8.71088520212946,8.761876106262207,268413,0.0,0.0
2017-10-30 00:00:00+02:00,8.812867640107601,8.812867640107601,8.719385246139225,8.787372589111328,60768,0.0,0.0
2017-10-31 00:00:00+02:00,8.795871159838455,8.804368969807099,8.753378868103027,8.753378868103027,150214,0.0,0.0
2017-11-01 00:00:00+02:00,8.753380339812814,8.829866315701596,8.753380339812814,8.81286907196045,241847,0.0,0.0
2017-11-02 00:00:00+02:00,8.821366691133422,8.838363122469447,8.693889808984293,8.727884292602539,46003,0.0,0.0
2017-11-03 00:00:00+02:00,8.753378717201244,8.795871008204136,8.634400464487753,8.651397705078125,64553,0.0,0.0
2017-11-06 00:00:00+02:00,8.651397603680095,8.685391273989381,8.566413022670366,8.583410263061523,65775,0.0,0.0
2017-11-07 00:00:00+02:00,8.625901743093358,8.625901743093358,8.515422922442951,8.583410263061523,391622,0.0,0.0
2017-11-08 00:00:00+02:00,8.625904578559132,8.685394129010271,8.498428475614237,8.549419403076172,64506,0.0,0.0
2017-11-09 00:00:00+02:00,8.549416692955006,8.685391375785832,8.549416692955006,8.651397705078125,45971,0.0,0.0
2017-11-10 00:00:00+02:00,8.668395088979702,8.744881059106058,8.625902793301378,8.702388763427734,110011,0.0,0.0
2017-11-13 00:00:00+02:00,8.744882868988118,8.744882868988118,8.549419403076172,8.549419403076172,38655,0.0,0.0
2017-11-14 00:00:00+02:00,8.58341064260352,8.753379001665625,8.540918350219727,8.540918350219727,74034,0.0,0.0
